,index,Rating,Id,Date,views,like,Title,Text
163,163,5,shinhwa***예매자,2020.08.24,조회 3,"공감 0
공감하기",사랑해 렌트ㅠㅠㅠ,예정된 이별보다 갑작스레 더 빠른 이별이었지만그래도 사랑해 렌트이 작품을 만나게 되어서 렌트할 수 있어서 행복했어요
164,164,5,ellen1***예매자,2020.08.24,조회 5,"공감 0
공감하기",좋았어요,아쉽네요 이렇게 보내줘야 한다니곧 다시 봤으면 좋겠어요
165,165,5,rkddkf***예매자,2020.08.24,조회 6,"공감 0
공감하기",ㅜ정녕 끝인가요 코세글자 즐 ㅠ,사랑했어요 렌트다시돌아와 크리스마스 특공하자구 
166,166,4,sageda***예매자,2020.08.24,조회 6,"공감 0
공감하기",No day but today!!,주조연 앙상블까지 모두 좋았습니다
167,167,5,trewqq***,2020.08.24,조회 6,"공감 0
공감하기","좋은 에너지 감사했습니다.
라이브 후기",다음에도 꼭 와주세요
168,168,5,kjo0***예매자,2020.08.24,조회 6,"공감 0
공감하기",행복했습니다.,렌트가 있어서 6월7월8월 행복했어요
169,169,5,lin5***예매자,2020.08.24,조회 5,"공감 0
공감하기",렌트 꼭 돌아오길!,   
171,171,5,kjo0***예매자,2020.08.24,조회 9,"공감 0
공감하기",너무 아쉽고 아쉬운 막공,이번 렌트를 볼 수 있어서 감사했어요
172,172,5,choijh***예매자,2020.08.24,조회 6,"공감 0
공감하기",렌트 잊지못해요...정말,많이많이 행복했고 사랑했습니다 렌트 꼭 돌아와줘요
173,173,5,hyl0***예매자,2020.08.24,조회 7,"공감 0
공감하기",우리 렌트 한 번 더 해...,23일 막공날까지 무사히 공연이 올라가지 못하게되어서 너무너무 슬퍼요꼭 다시 이 배우들 그대로 보고싶어요
174,174,5,hyl0***,2020.08.24,조회 6,"공감 0
공감하기",ㅜㅜ,돌아와렌트
175,175,5,hyl0***예매자,2020.08.24,조회 7,"공감 0
공감하기",좋았어요ㅜㅜ,우리 렌트 한 번 더 해
176,176,5,hyl0***예매자,2020.08.24,조회 6,"공감 0
공감하기",좋았습니다ㅜㅜ,배우들의 연기 노래그리고 스토리 넘버 다 너무너무 좋았습니다
177,177,5,hyl0***예매자,2020.08.24,조회 7,"공감 0
공감하기",너무 좋았어요ㅜㅜ,또 보고싶어요
178,178,4,fin***예매자,2020.08.24,조회 6,"공감 0
공감하기",사랑,메세지가 참 좋은 공연입니다후기를 썼다가 두번이나 날려서 참 다 큰 어른들이 사랑하자며 울고 있는걸 보면서 감동받는 기분이 나쁘지가 않더라고요우리가 살면서 힘들고 기쁘고 슬프고 행복한 이유는 모두 사랑으로 귀결되는 당연한 섭리를 다시 깨닫는 공연이었어요당연한 일상이 무너진 지금이라 더 와닿았던 것 같기도 합니다지금보다 좀 더 좋은 시기에 다시 볼 수 있길 바랍니다
179,179,5,yeona***예매자,2020.08.24,조회 6,"공감 0
공감하기",감사해요,안녕렌트
180,180,4,polar_***예매자,2020.08.24,조회 7,"공감 0
공감하기",렌트 자첫자막,불편할지도 모른다고 생각한 소재들 하지만 하나도 불편하지 않았던 극 모든 인물이 자기의 서사를 담고 있고 그 서사의 교차점을 엿본 시간
181,181,4,rocksho***,2020.08.24,조회 4,"공감 0
공감하기","렌트 총막
라이브 후기",꼭 가고 싶었다망할 코로나 9년만의 렌트인데막공도 못 보고 갑자기 보냈네
182,182,5,tjgmldnjs***예매자,2020.08.24,조회 4,"공감 0
공감하기",잘 있어 내 사랑 안녕,이 말 뿐야 잘 있어 내 사랑마지막이 될 줄 몰랐던
183,183,5,hanac***예매자,2020.08.24,조회 6,"공감 0
공감하기",갑작스런 막공ㅠ,23일 총막 밤공을 예매해놓고 룰루랄라 있다가 22일자 렌트석 하나 나와서 급하게 티켓 잡고 극장 왔는데뚜둥 최재림 배우에서 유효진 배우로 캐스트 변경 그놈의 코머시기그냥 취소하고 갈까 고민 1초하다가 렌트석이다그냥 보자 난 렌트헤즈니깐유효진 배우님 커버유맆에서 사람 이렇게 울리셔도 되는지울다가 과호흡까지 오고배우들 다 울고근데 이날이 마지막 공연날이 될줄이야렌트 18번 관람하는 동안 정말정말 너무 행복했어요 정말 진심으로 사랑했던 다음 시즌때 오면 그땐 총막공 잘 보내줄꺼에요
