,index,Rating,Id,Date,views,like,Title,Text
169,169,5,yukiru***예매자,2020.10.26,조회 4,"공감 0
공감하기",썸씽로튼,장미 전쟁 초서의 시 잔혹한 봉건 제도십자군과 흑사병 딱히 그립지 않은 시절너무 야만적이고 재미없던 시절너무 중세스러워너무 좀 짓밟혀서 시작된 거야웰컴 투 더 르네상스시인과 화가와 풍류가 유랑악사들런던을 거닐며 루트를 튕겨호박 바지에 뾰족 신 신고웰컴 투 더 르네상스어딜 둘러봐도 참 놀라워이게 바로 혁신오 최신 유행 문화 다 그대에게모두 다웰컴 투 더 르네상스새로운 시대눈부시게 발전한 과학상식살림 도구들도 모두 최신식술잔은 백납 방식집들은 튜더 양식세련되고 모던한 장식숙녀복은 페티코트 파딩게일제비꼬리 턱수염은 내가 제일우리는 문화인들모두 다 대죄인들지옥 갈 준비나 하세요마녀사냥과 전쟁 속에틈틈이 일궈낸 문화 예술 문화 예술웰컴 투 더 르네상스저 멋진 인쇄소 활자들우리처럼 멋져문학과 극예술도 꽃을 피웠네모두 다웰컴 투 더 르네상스새로운 시대프랜시스 베이컨이 닭을 들고 있네뭘 만드는 거죠고기 얼리는 법을 알아냈나 봐요 새로워라저기 월터 홀리가 신세계를 발견했어담배도 들여왔대요 어머 이것도 새롭네항상 새로운 작품을 써내는 작가들도 한가득그럼요 진짜에요예를 들면데커 와우존 웹스터 와우벤 존슨 아하크리스토퍼 말로우토마스 키드 토마스 미들턴 토마스 무어마지막 그분요 슈퍼스타 시대의 영혼엘리자베스 시대의 천재이름만으로 가슴 떨리는내 마음 뺏은 그대셰익스피어 셰익스피어너무 좋아 너무 좋아너무 좋아 너무 좋아너무 좋아 너무 좋아너무 좋아 너무 좋아걸작들만 내놓는 천재 작가근데 연기까지 잘해어쩜 그래사랑해웰컴 투 더 르네상스이태리도 프랑스도 아니고이곳이 바로 문화의 중심 윌리엄 셰익스피어가 있는 이곳셰익스피어가 있는 곳이 톱
170,170,5,fin***예매자,2020.10.26,조회 5,"공감 0
공감하기",썩었어!!!!!,제 속이 썩었어요썸씽로튼 정말 내한때부터 너무 재미있게 봐서라이센스 공연이 올라 온다는 이야기를 듣고굉장히 기대하면서 행복하게 기다렸는데이 역병 때문에 마음껏 보지 못했어요모든 공연들이 중단도 되고 띄어앉기 좌석에공연을 계속 이어가기가 힘든 상황에본 것 만으로도 다행이라고 해야 할까요그래도 참 아쉽습니다꼭꼭 다시 올라왔으면 좋겠어요이 시기를 우리 모두 무사히 보내고다시 만나길 바랍니다
171,171,5,wjd***예매자,2020.10.26,조회 3,"공감 0
공감하기",흥이 넘치는!,신나는 뮤지컬이었어요
172,172,5,sinae1***예매자,2020.10.26,조회 4,"공감 0
공감하기",만들어 오믈릿!!!!!,삶이 달걀을 줄때 만들어 오믈릿유쾌하게 다 헤쳐나가버려
173,173,5,haveagoodday***예매자,2020.10.26,조회 4,"공감 0
공감하기",너모 재밌어요,노래 너무 좋아요
174,174,5,sinae1***예매자,2020.10.26,조회 4,"공감 0
공감하기",썸씽로튼 재연오기로 약속했지요?,그러면 그때 제 통장 다시 털어가세요오믈릿 오믈릿
175,175,5,ddud***예매자,2020.10.26,조회 4,"공감 0
공감하기",준다 끝내!! 온다 재연 반드시!!,일주일 뒤에 쓰는 후기네요 분명 막공을 보고 왔는데 제 가슴은 아직 썸씽로튼을 보내지 못하였읍니다코땡땡 때문에 늦게 본 것도 억울하고 코땡땡 때문에 윌파워에서 같이 윌오빠한테 함성 못지른 것도 너무 억울하고그러니까 코세글자놈 끝나면 꼭꼭 재연 올라와야 합니다 윌파워 때마다 정말 무대 위로 뛰쳐올라가서 저도 손 머리 위로 하고 같이 흔들고 싶었어요 나도 낭독회 초대해달라  한 장면 한 장면 정말 곱씹으면서 기다리고 있겠습니다 배우스텝분들 정말정말 고생 많으셨고  시간상 앙상블분들 인사는 다 못해도 이름이라도 한번씩 다 얘기해주셨으면 더 좋았을텐데 그게 좀 아쉬웠어요닉 나이젤 포샤 비아 윌 노스트라다무스 앙상블들 전캐 다 너무 사랑했지만 유랑악사 두 분 했다 사랑보인다 보인다 미래가 돈통에 월급 넣고 있는 내 모습 매진되는 재연 공연 다시 후원하게 해주세요
176,176,4,dpdms0***예매자,2020.10.26,조회 3,"공감 0
공감하기",뮤우지컬,뮤지컬을 왜 보냐면 신나니까 재밌으니까오랜만에 눈과 귀가 모두 즐겁고 유쾌한 극이었습니다바텀에서 정상을 꿈꾸는 형제 초상화와는 달리 핫하고 섹시한 국민작가 셰익스피어 가족을 소중히 하면서도 자신의 자리를 찾으려고 노력하는 비아 많은 것으로부터 자유로워지고 싶은 포샤 모자라지만 최선을 다하는 노스트라다무스까지 적절한 패러디와 인용들도 좋았습니다밤이가고 낮이오듯 아침이 밝아오듯
177,177,5,dpwjd2***예매자,2020.10.26,조회 3,"공감 0
공감하기",꿀잼!!,가지마윌파워
178,178,5,mberr***예매자,2020.10.26,조회 2,"공감 0
공감하기",재밌어요,서경수 배우 윌리엄 다시 보고싶네요 특히 탭댄스 배틀 너무 재밌었습니다
